day,time,state,count
2022-09-17,00:00:00,AtHome,733
2022-09-17,00:00:00,Transport,123
2022-09-17,00:00:00,AtRecreation,24
2022-09-17,00:00:00,AtRestaurant,0
2022-09-17,00:00:00,AtWork,0
2022-09-17,00:05:00,AtHome,740
2022-09-17,00:05:00,Transport,108
2022-09-17,00:05:00,AtRecreation,26
2022-09-17,00:05:00,AtRestaurant,6
2022-09-17,00:05:00,AtWork,0
2022-09-17,00:10:00,AtHome,747
2022-09-17,00:10:00,Transport,94
2022-09-17,00:10:00,AtRecreation,25
2022-09-17,00:10:00,AtRestaurant,14
2022-09-17,00:10:00,AtWork,0
2022-09-17,00:15:00,AtHome,749
2022-09-17,00:15:00,Transport,82
2022-09-17,00:15:00,AtRecreation,31
2022-09-17,00:15:00,AtRestaurant,18
2022-09-17,00:15:00,AtWork,0
2022-09-17,00:20:00,AtHome,759
2022-09-17,00:20:00,Transport,78
2022-09-17,00:20:00,AtRecreation,25
2022-09-17,00:20:00,AtRestaurant,18
2022-09-17,00:20:00,AtWork,0
2022-09-17,00:25:00,AtHome,765
2022-09-17,00:25:00,Transport,72
2022-09-17,00:25:00,AtRecreation,30
2022-09-17,00:25:00,AtRestaurant,13
2022-09-17,00:25:00,AtWork,0
2022-09-17,00:30:00,AtHome,773
2022-09-17,00:30:00,Transport,70
2022-09-17,00:30:00,AtRecreation,30
2022-09-17,00:30:00,AtRestaurant,7
2022-09-17,00:30:00,AtWork,0
2022-09-17,00:35:00,AtHome,781
2022-09-17,00:35:00,Transport,72
2022-09-17,00:35:00,AtRecreation,21
2022-09-17,00:35:00,AtRestaurant,6
2022-09-17,00:35:00,AtWork,0
2022-09-17,00:40:00,AtHome,792
2022-09-17,00:40:00,Transport,65
2022-09-17,00:40:00,AtRecreation,22
2022-09-17,00:40:00,AtRestaurant,1
2022-09-17,00:40:00,AtWork,0
2022-09-17,00:45:00,AtHome,797
2022-09-17,00:45:00,Transport,66
2022-09-17,00:45:00,AtRecreation,16
2022-09-17,00:45:00,AtRestaurant,1
2022-09-17,00:45:00,AtWork,0
2022-09-17,00:50:00,AtHome,806
2022-09-17,00:50:00,Transport,60
2022-09-17,00:50:00,AtRecreation,14
2022-09-17,00:50:00,AtRestaurant,0
2022-09-17,00:50:00,AtWork,0
2022-09-17,00:55:00,AtHome,819
2022-09-17,00:55:00,Transport,54
2022-09-17,00:55:00,AtRecreation,7
2022-09-17,00:55:00,AtRestaurant,0
2022-09-17,00:55:00,AtWork,0
2022-09-17,01:00:00,AtHome,825
2022-09-17,01:00:00,Transport,47
2022-09-17,01:00:00,AtRecreation,8
2022-09-17,01:00:00,AtRestaurant,0
2022-09-17,01:00:00,AtWork,0
2022-09-17,01:05:00,AtHome,830
